251.171.92.85,221.59.1.204,9879,64917,IPv4
57.3.38.220,100.21.250.207,753,28112,IPv4
002b:009a:00fa:0080:007f:00e7:00b7:003b,00ea:0048:00e9:0049:005e:00d5:00c5:0026,63656,35063,IPv6
007f:000f:00d7:00aa:009d:0092:005d:0002,00fc:002c:0003:007f:0098:009a:00b4:00b9,5872,34193,IPv6
234.229.192.101,249.118.39.189,32817,36665,IPv4
162.142.122.209,127.48.242.158,27899,21401,IPv4
0018:00a9:00c4:001e:008e:0011:00ce:00c5,00fa:0060:00fd:0040:0094:00b1:00cf:0018,1149,30154,IPv6
20.116.30.41,223.200.177.99,65425,16906,IPv4
133.149.45.84,188.159.140.81,46505,12406,IPv4
0005:00a4:0028:0076:0039:00b4:00ef:00ee,0086:008b:009a:000f:0050:0053:00c7:0010,22491,53636,IPv6
00dc:00f2:00c7:00d6:0082:005d:0036:0040,00d2:002b:00ad:00e9:0008:0085:007f:00df,12082,10426,IPv6
00be:0077:00d3:00cd:00c5:0072:0093:009e,00bb:00be:0076:0024:0047:00f0:008c:007a,21038,41957,IPv6
0084:0018:0090:00dd:0011:00c9:00c3:00b9,0017:006a:003b:0083:00c4:0061:0090:00d7,34466,55345,IPv6
231.71.113.33,152.169.36.247,59561,57467,IPv4
149.209.172.90,15.103.230.99,62288,47767,IPv4
222.36.79.31,23.180.33.60,2961,3298,IPv4
129.109.112.151,39.59.77.172,1103,38624,IPv4
213.151.253.115,189.238.94.67,52647,19565,IPv4
00f7:00f3:00e5:0084:00f7:009a:0020:008c,00cc:0051:00e5:0091:0079:0098:0065:00de,47933,52243,IPv6
00b6:0098:003a:007f:000f:006a:0074:003c,0053:0008:00f2:008c:0049:0091:0070:005f,47966,30676,IPv6
00cc:0082:0070:005b:0066:004f:0071:0046,0029:00a5:0038:006e:006a:008a:00ce:00c5,33511,50184,IPv6
00b7:00be:0038:0069:006a:001b:0062:003c,00e4:002a:00eb:0077:00f6:002e:00d0:000c,43273,22127,IPv6
0045:0042:0073:00f4:004e:0016:00b6:001e,0064:00be:0040:009e:0048:00b7:00a4:00bf,53987,33186,IPv6
